,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
0,68.4,kraków,grzegórzki,0,1,0,1,1,4 ,3,brak,blok ,3900.0
1,38.0,kraków,czyżyny,1,0,0,1,1,1 ,2,ulica,apartamentowiec ,3670.0
2,40.0,kraków,grzegórzki,0,1,1,1,1,2 ,2,garaż,blok ,3300.0
3,20.0,kraków,stare miasto,1,0,0,0,1,1 ,1,brak,kamienica ,2100.0
4,22.0,kraków,dębniki,1,0,1,1,1,4 ,1,ulica,blok ,2600.0
5,45.0,kraków,prądnik czerwony,1,0,0,1,1,9 ,2,garaż,blok ,3700.0
6,46.0,kraków,łagiewniki,1,0,0,1,1,9 ,3,ulica,blok ,3240.0
7,36.0,kraków,zwierzyniec,1,0,0,1,1,4 ,1,garaż,apartamentowiec ,3700.0
8,45.0,kraków,dębniki,1,0,0,0,1,4 ,2,garaż,blok ,3500.0
9,50.0,kraków,podgórze duchackie,1,0,1,0,1,1 ,2,ulica,blok ,2900.0
10,31.0,kraków,prądnik biały,1,0,0,0,1,parter ,1,ulica,blok ,3100.0
11,26.0,kraków,bronowice,1,0,0,0,1,parter ,1,ulica,blok ,3000.0
12,25.0,kraków,podgórze,1,0,0,0,1,1 ,1,ulica,apartamentowiec ,2800.0
13,45.0,kraków,grzegórzki,1,0,1,0,1,-1,2,brak,blok ,2700.0
14,38.0,kraków,łagiewniki,1,0,0,1,1,2 ,2,ulica,blok ,3596.0
15,40.0,kraków,grzegórzki,1,0,1,1,1,3 ,2,garaż,blok ,4549.0
16,37.0,kraków,dębniki,1,0,1,0,1,1 ,1,brak,blok ,2600.0
17,55.0,kraków,bronowice,1,0,0,0,1,1 ,4,ulica,szeregowiec ,4600.0
19,38.0,kraków,stare miasto,1,0,1,0,1,parter ,1,brak,kamienica ,2830.0
20,38.0,kraków,dębniki,1,0,0,0,1,parter ,1,strzeżony,dom wolnostojący ,2500.0
21,41.2,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,blok ,3520.0
22,48.0,kraków,bronowice,0,1,1,1,1,4 ,3,strzeżony,blok ,3530.0
23,50.0,kraków,dębniki,0,1,0,1,1,1 ,2,brak,blok ,2935.0
24,38.0,kraków,podgórze,0,1,0,1,1,2 ,2,garaż,blok ,2900.0
25,38.0,kraków,prądnik czerwony,0,1,0,1,1,1 ,2,garaż,blok ,3507.0
26,48.5,kraków,grzegórzki,1,0,0,1,1,5 ,2,brak,blok ,3500.0
27,63.0,kraków,bieńczyce,1,0,1,0,1,3 ,3,brak,blok ,3550.0
28,50.0,kraków,podgórze duchackie,1,0,1,0,1,-1,2,ulica,blok ,2850.0
29,55.0,kraków,prądnik czerwony,1,0,0,0,1,1 ,3,ulica,blok ,3200.0
30,33.5,kraków,podgórze,1,0,0,0,1,1 ,1,ulica,blok ,2750.0
32,55.0,kraków,stare miasto,1,0,1,0,0,2 ,2,brak,kamienica ,3200.0
33,45.0,kraków,czyżyny,1,0,0,0,1,4 ,2,brak,blok ,2701.0
34,44.0,kraków,prądnik czerwony,0,1,0,1,1,1 ,2,brak,blok ,2650.0
35,25.0,kraków,prądnik czerwony,0,1,0,0,1,3 ,1,ulica,blok ,2380.0
36,54.0,kraków,stare miasto,1,0,0,1,1,3 ,2,brak,apartamentowiec ,3101.0
37,27.0,kraków,krowodrza,1,0,0,1,1,3 ,2,identyfikator do strefy płatnego parkowania,blok ,2800.0
38,55.0,kraków,stare miasto,1,0,0,1,1,5 ,2,brak,kamienica ,3499.0
40,32.0,kraków,stare miasto,1,0,0,1,1,2 ,2,garaż,apartamentowiec ,3600.0
41,45.0,kraków,prądnik czerwony,1,0,0,0,1,parter ,2,strzeżony,blok ,3150.0
43,36.0,kraków,grzegórzki,1,0,0,0,1,1 ,1,ulica,blok ,2475.0
44,19.0,kraków,łagiewniki,1,0,1,0,1,1 ,1,ulica,kamienica ,1300.0
46,19.0,kraków,grzegórzki,1,0,0,0,1,1 ,1,brak,blok ,2197.0
47,45.0,kraków,dębniki,1,0,0,1,1,parter ,2,ulica,blok ,2600.0
48,44.0,kraków,łagiewniki,0,1,0,0,1,1 ,2,ulica,blok ,3000.0
49,33.0,kraków,dębniki,1,0,1,1,1,parter ,2,ulica,blok ,3100.0
52,24.0,kraków,prądnik biały,0,1,0,0,1,2 ,1,ulica,blok ,2638.0
53,20.0,kraków,krowodrza,1,0,1,0,1,-1,1,brak,kamienica ,2430.0
54,40.0,kraków,podgórze,1,0,0,0,1,1 ,2,ulica,kamienica ,3301.0
57,32.0,kraków,prądnik biały,1,0,0,1,1,2 ,2,garaż,apartamentowiec ,3100.0
58,30.0,kraków,bieżanów,1,0,0,0,1,2 ,2,brak,dom wolnostojący ,1900.0
59,51.0,kraków,dębniki,1,0,1,1,1,3 ,4,ulica,blok ,4300.0
60,25.0,kraków,bronowice,1,0,1,1,1,6 ,1,garaż,apartamentowiec ,2811.0
63,24.0,kraków,stare miasto,1,0,1,0,1,2 ,1,brak,kamienica ,2950.0
64,38.0,kraków,czyżyny,1,0,0,1,1,1 ,2,ulica,apartamentowiec ,3670.0
65,73.15,kraków,łagiewniki,1,0,0,1,1,1 ,4,garaż,apartamentowiec ,4495.0
66,41.2,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,blok ,3520.0
67,55.0,kraków,mistrzejowice,0,1,1,1,0,2 ,2,ulica,apartamentowiec ,3200.0
68,52.5,kraków,prądnik czerwony,1,0,0,1,1,8 ,3,garaż,apartamentowiec ,4150.0
69,20.0,kraków,prądnik czerwony,1,0,0,1,1,4 ,1,brak,blok ,2600.0
70,36.0,kraków,dębniki,1,0,1,1,1,4 ,2,ulica,blok ,2800.0
71,54.0,kraków,mistrzejowice,1,0,0,0,1,2 ,2,brak,blok ,3000.0
72,40.0,kraków,krowodrza,0,1,0,0,1,3 ,1,ulica,blok ,2830.0
73,25.0,kraków,stare miasto,1,0,0,0,1,3 ,1,brak,kamienica ,2680.0
75,40.0,kraków,bieńczyce,1,0,1,0,1,4 ,2,brak,blok ,2599.0
