Title,Price,Area,Address,description,table,Link
"Mieszkanie 3-pokojowe - ul. Bajeczna 2B - Grzegórzki, Ofiar Dąbia",3 250 zł,"68,40 m²","Kraków, Grzegórzki - Odświeżono dnia 24 marca 2025","Do wynajęcia trzypokojowe mieszkanie o powierzchni 68,4 m2 przy ul. Bajecznej 2b.
Posiada dwa balkony, z wyjściem zarówno z sypialni jak i salonu.
Mieszkanie po odświeżeniu, posiada podstawowe wyposażenie. 

LOKALIZACJA:
Sklep spożywczy “Biedronka” - 100m
Galeria M1 - 15 min komunikacją miejską
Galeria Kazimierz - 20 min komunikacją miejską
Rynek – 20 min komunikacją miejską
Dworzec główny - 20 min komunikacją miejską

KOMUNIKACJA:
Przystanek tramwajowy: Ofiar Dąbia w odległości ok. 300m.
Przystanek autobusowy: Ofiar Dąbia w odległości ok. 250m.

Mieszkanie składa się z:

- dużego salonu z balkonem,
- gabinetu z szafą, biurkiem i krzesłem biurowym,
- dużej sypialni z wyjściem na balkon,
- osobnej kuchni z podstawowym wyposażeniem (Kuchenka mikrofalowa, płyta elektryczna, lodówka),
- Łazienki z pralką, umywalką, oraz kabiną prysznicową, 
- osobnej toalety wraz z umywalką,
- Przestronnego korytarza.

CENA:
Miesięczny czynsz najmu: 3250 zł
Czynsz administracyjny: 650 zł (wywóz nieczystości, utrzymanie części wspólnych budynku, fundusz remontowy)
Media (prąd, woda): rozliczane według zużycia + 70 zł za internet światłowodowy 

UMOWA
Możliwość podpisania umowy zdalnie.

Miesięczna kaucja zwrotna.
Bez prowizji za wynajem.

MIESZKANIE DOSTĘPNE OD ZARAZ
TEL: 51*****33","FirmoweZwierzęta: NieWinda: TakPoziom: 4Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 68,40 m²Liczba pokoi: 3 pokojeCzynsz (dodatkowo): 650 zł",https://www.olx.pl/oferta/mieszkanie-3-pokojowe-ul-bajeczna-2b-grzegorzki-ofiar-dabia-CID3-ID13PwJD.html
NOWE/Klima/ 38m2/2 pokoje/ wysoki standard/miejsce postojowe,3 300 złdo negocjacji,38 m²,"Kraków, Czyżyny - 23 marca 2025","MIESZKANIE:
Do wynajęcia nowocześnie urządzone mieszkanie na 2 piętrze w nowo oddanej inwestycji ( City Yes ) na ul. Nowohuckiej 46. Metraż 38 m2 oraz balkon. Mieszkanie wykończone w wysokim standardzie w pełni wyposażone (klimatyzacja, zmywarka, lodówka, piekarnik, okap, płyta indukcyjna, pralka, TV, czajnik) Wszystkie sprzęty na gwarancji. Meble robione na wymiar ( pojemna szafa, łóżko z szufladami) zabudowa z miejscem do przechowywania. Mieszkanie klimatyzowane.

Lokalizacja:
Mieszkanie zlokalizowane jest w atrakcyjnej części Krakowa  świetnie skomunikowanej z resztą miasta. W pobliżu Centrum Handlowe M1, biurowce Comarch, Philip Morris czy Galicyjska Business Park, uczelnie AWF oraz PK. W pobliżu również Tauron Arena oraz Park Lotników gdzie można wypocząć. Do centrum miasta jest zaledwie 6 km. 

Komunikacja:
Przystanek autobusowy ok 500 m linie 174, 178, 578
Przystanek tramwajowy ok 500 m linie 1, 14, 22

Dodatkowe atuty:
-Taras na dachu budynku z widokiem na miasto, z możliwością relaxu, grillowania itp.

Koszt najmu: 3300 zł
Kaucja zwrotna: 4000 zł
Dodatkowo czynsz w wyskości 370 zł   ( w tym zaliczka na wodę ciepłą i zimną, ogrzewanie i smieci) Energia elektryczna wg zużycia (ok 100 zł miesięcznie)
Zewnętrzne miejsce postojowe 200 zł

Dostępne od 1 kwietnia 2025

Bezpośrednio od właściciela.",PrywatneZwierzęta: NieWinda: TakParking: przynależne na ulicyPoziom: 1Umeblowane: TakRodzaj zabudowy: ApartamentowiecPowierzchnia: 38 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 370 zł,https://www.olx.pl/oferta/nowe-klima-38m2-2-pokoje-wysoki-standard-miejsce-postojowe-CID3-ID154pJk.html
Mieszkanie z klimatyzacją od zaraz | Dąbska | Grzegórzki ENG,2 800 zł,40 m²,"Kraków, Grzegórzki - 24 marca 2025","ENG BELOW
Promo Estates przedstawia ofertę wynajmu klimatyzowanego, dwupokojowego mieszkania - 40 m², ul. Dąbska, Grzegórzki, Kraków.

 LOKALIZACJA:
Mieszkanie znajduje się w atrakcyjnej, dynamicznie rozwijającej się dzielnicy Krakowa - Grzegórzki, przy ulicy Dąbskiej. Lokalizacja gwarantuje wygodne połączenia komunikacyjne z centrum miasta oraz szybki dostęp do licznych punktów handlowo-usługowych. W sąsiedztwie znajdują się Tauron Arena, Park Lotników Polskich oraz liczne restauracje, sklepy i kawiarnie. Jest to idealne miejsce dla osób ceniących miejską wygodę i dostępność rozrywki oraz terenów rekreacyjnych.

MIESZKANIE:
Lokal ma powierzchnię 40 m² i znajduje się na drugim piętrze. Składa się z:
- Salonu z aneksem kuchennym (nowa kanapa, stolik kawowy, szafka RTV, TV, stół z trzema krzesłami)
- Sypialni (duże łóżko z wygodnym materacem)
- Łazienki (prysznic, umywalka, pralka)
- Garderoby
- Przedpokoju z pojemną szafą przesuwną
- Balkonu

Aneks kuchenny został wyposażony w wysokiej jakości sprzęt AGD: lodówkę, zamrażarkę, płytę indukcyjną, piekarnik, zmywarkę oraz okap. W mieszkaniu znajduje się klimatyzacja oraz drobne wyposażenie dodatkowe, niezbędne do codziennego użytkowania.

Mieszkanie ogrzewane jest z sieci miejskiej (MPEC), podobnie jak ciepła woda.

 KOSZTY NAJMU:
- Czynsz najmu - 2800 PLN
- Miejsce postojowe - 200 PLN
- Czynsz administracyjny - 500 PLN
- Prąd według zużycia (około 150 PLN)

Zapraszam do kontaktu i na prezentację mieszkania!

Artur Rzepka
Promo Estates
73*******33

ENG
Promo Estates presents an offer to rent an air-conditioned, two-room flat - 40 m², Dąbska Street, Grzegórzki, Krakow.

 LOCALISATION:
The flat is located in an attractive, dynamically developing district of Cracow - Grzegórzki, at Dąbska Street. The location guarantees convenient transport links to the city centre and quick access to numerous retail and service outlets. In the neighbourhood, there is Tauron Arena, Lotników Polskich Park and numerous restaurants, shops and cafes. It is an ideal place for those who appreciate urban convenience and the availability of entertainment and recreational areas.

RESIDENCE:
The premises have an area of 40 m² and are located on the second floor. It consists of:
- Living room with kitchenette (new sofa, coffee table, RTV cabinet, TV, table with three chairs)
- Bedroom (large bed with comfortable mattress)
- Bathroom (shower, washbasin, washing machine)
- Dressing room
- Hallway
- Balcony

The kitchenette is equipped with high quality appliances: fridge, freezer, induction hob, oven, dishwasher and extractor hood. The flat has air-conditioning and small additional equipment necessary for daily use.

The flat is heated from the municipal network (MPEC), as is the hot water.

 RENTAL COSTS:
- Rent - 2800 PLN.
- Parking space - 200 PLN
- Administrative rent - 500 PLN
- Electricity as per consumption (approx. 150 PLN)

I invite you to contact me and to the presentation of the flat!

Artur Rzepka
Promo Estates
73*******33",FirmoweZwierzęta: TakWinda: TakParking: w garażuPoziom: 2Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 40 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 500 zł,https://www.olx.pl/oferta/mieszkanie-z-klimatyzacja-od-zaraz-dabska-grzegorzki-eng-CID3-ID154J8S.html
Nowoczesna kawalerka ul. Monte Cassino /100m od ICE,2 100 zł,20 m²,"Kraków, Stare Miasto - Odświeżono Dzisiaj o 10:10","English down below.

Prezentuję na wynajem nowoczesną kawalerkę w malowniczej dzielnicy tuż przy Bulwarach Wiślanych - Dębniki! 

Mieszkanie znajduje się na I-piętrze II piętrowej wyremontowanej kamienicy. Składa się z przedpokoju, salonu z aneksem kuchennym i łazienki. Kawalerka jest nowa, wcześniej nie zamieszkana, a jej wystrój został zaprojektowany przez architekta wnętrz.
Umeblowana i wyposażona:
przedpokój - pojemna szafa z lustrem;
kuchnia - meble w zabudowie, zmywarka, mikrofalówka z funkcją grilla, lodówka, zamrażarka, płyta indukcyjna;
salon - rozkładana sofa, komoda, telewizor, stół, krzesła;
łazienka - prysznic, WC, pralka, umywalka, grzejnik drabinkowy.
Dodatkowo w skład wyposażenia wchodzi pełna zastawa stołowa, naczynia do gotowania, pościel oraz suszarka na ubrania. Ogrzewanie z kotłowni gazowej.

Mieszkanie zlokalizowane przy ul. Monte Cassino - Dębniki. W pobliżu liczne punkty usługowo-handlowe: sklepy spożywcze, apteka, restauracja, stacja benzynowa, siłownia, fryzjer, salon kosmetyczny, szkoła, przedszkole. W promieniu 300 m Centrum Kongresowe ICE, Rynek Dębnicki i Bulwary Wiślane. Dogodna lokalizacja dla osób pracujących w biurowcach: CH2M Center, Jacobs, Porto Office, Buma Square, Onyx. Do Rynku Głównego 1,5 km. Nieruchomość jest świetnie skomunikowana z resztą miasta - przystanek autobusowy i tramwajowy w odległości 100 m.

Opłaty: 2100 PLN cena najmu + 350PLN czynsz + prąd
Kaucja w wysokości jednomiesięcznego czynszu.

ENG -> We present a modern studio apartment to rent in a beautiful area near the Vistula Boulevards - Debniki!

The apartment is located on the first-floor of the two-storey renovated building. It consists a hallway, living room with open plan kitchen and bathroom. The apartment is new, previously uninhabited, and its decor was designed by an interior designer.
Furnished and equipped with:
hallway - capacious closet with mirror;
kitchen - built-in furniture, dishwasher, microwave with grill function, refrigerator, freezer, induction hob;
living room - sofa bed, commode, TV, table, chairs;
bathroom - shower, toilet, washing machine, sink, ladder heater.
Additional equipment includes full tableware, cooking utensils, bed linen, and a clothes dryer. Heating from gas boiler room.

The apartment is located near Monte Cassino Street - Debniki. Nearby are numerous commercial and service outlets: grocery stores, pharmacy, restaurant, gas station, gym, hairdresser, beauty salon, school, kindergarten. Within 300 meters there is the ICE Congress Center, Dębnicki Market Square and Vistula Boulevards. Convenient location for people working in office buildings: CH2M Center, Jacobs, Porto Office, Buma Square, Onyx. To the Main Square 1.5 km. The apartment is well connected to the rest of the city - bus and tram stop within 100 m.

Fees: 2100 PLN rental price + 350 PLN administrative rent + electricity
One month deposit required.

Zapraszam do kontaktu, 

Anna 
72*******65",PrywatneZwierzęta: NieWinda: NiePoziom: 1Umeblowane: TakRodzaj zabudowy: KamienicaPowierzchnia: 20 m²Liczba pokoi: Kawalerka,https://www.olx.pl/oferta/nowoczesna-kawalerka-ul-monte-cassino-100m-od-ice-CID3-ID151yp7.html
Studio pierwszy najem 2300 zł Ruczaj,2 300 zł,22 m²,"Kraków, Dębniki - Odświeżono Dzisiaj o 10:19","Cena 2600 zł z czynszem + indywidualne opłaty zużycia ciepła, prądu, wody zimnej i ciepłej oraz wywóz śmieci.

Nowe osiedle, nowe mieszkanie, BEZPOŚREDNIO I BEZ PROWIZJI!

Zwierzęta mile widziane :)

LOKALIZACJA:

LifeSpot Podole usytuowany jest w południowej części Krakowa w dzielnicy Ruczaj przy ul. Podole 109 (Czerwone Maki). Dojazd tramwajami:11,17,18,52,62 oraz autobusami 104, 116, 156, 196, 203, 204, 213, 223, 233, 253*********** 476, 496, 57*********03



W OKOLICY PIESZO:

Apteka, piekarnia, restauracja, kawiarnia, przedszkole, Las Krzemieniec, siłownia



W OKOLICY DOJAZD komunikacja miejska/samochód:

Lidl, Biedronka, galerie handlowe, siłownia, centrum medyczne, szpital, Las Borkowski, Park Zakrzówek

INFORMACJE O NIERUCHOMOŚCI:
Mieszkanie jednopokojowe 22 m2 z aneksem kuchennym w nowym 6 piętrowym budynku.
Duże okna, balkon. Jasne, umeblowane, wyposażone w sprzęt AGD (zmywarka, piekarnik, płyta indukcyjna, okap kuchenny, lodówka). Łazienka z prysznicem i pralką. Gotowe do wejścia i zamieszkania.

Cena zawiera czynsz administracyjny i Internet (Play).
Dodatkowo: opłaty według zużycia ciepła, prądu, wody zimnej i ciepłej oraz wywóz śmieci.
Kaucja w wysokości od 2950 zł.

Przedstawiona wyżej oferta nie jest ofertą handlową w rozumieniu przepisów prawa, lecz ma charakter informacyjny. Nie jestem zainteresowany współpracą z agencjami nieruchomości.

Studio apartment 22m2

Price 2600 PLN with rent + individual charges for consumption of heat, electricity, cold and hot water and garbage disposal.

New estate, new apartment, DIRECTLY AND WITHOUT COMMISION!

PETS are ALLOWED :)



LOCATION:

LifeSpot Podole is located in the southern part of Krakow in the Ruczaj district at 109 Podole Street (Czerwone Maki). Access by trams: 11,17,18,52,62 and buses 104, 116, 156, 196, 203, 204, 213, 223, 233, 253*********** 476, 496, 57*********03



IN THE AREA ON FOOT:

Pharmacy, bakery, restaurant, cafe, kindergarten, Forest Krzemieniec, gym.

IN THE ROADSIDE ACCESS by public transport/car:

Lidl, Biedronka, shopping malls, gym, medical center, hospital, Borkowski Forest, Park Zakrzówek

PROPERTY INFORMATION:

Studio 22 m2 with kitchenette in a new 6-story building.

Large windows, balcony. Bright, furnished, equipped with household appliances (dishwasher, oven, induction hob, cooker hood, refrigerator). Bathroom with shower and washing machine. Ready to enter and live in.

Price includes administrative rent and Internet (Play).

In addition: fees according to the consumption of heat, electricity, cold and hot water and garbage disposal.

Deposit in the amount of 2950 PLN.

The offer presented above is not a commercial offer under the law, but is for informational purposes only. I am not interested in cooperation with real estate agencies.",PrywatneZwierzęta: TakWinda: TakParking: przynależne na ulicyPoziom: 4Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 22 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 300 zł,https://www.olx.pl/oferta/studio-pierwszy-najem-2300-zl-ruczaj-CID3-ID14R9nB.html
"Wynajmę dwupokojowe mieszkanie ul. Meiera 16E, Kraków",3 200 zł,45 m²,"Kraków, Prądnik Czerwony - Odświeżono dnia 24 marca 2025","Wynajmę Nowe, w pełni  urządzone i umeblowane mieszkanie o powierzchni  45 m2 ( ulica   Meiera 16 E, Prądnik Biały). Lokal znajduje się  na 9  piętrze 10 kondygnacyjnego budynku z windą oddanym 
w 2023 roku. Mieszkanie wykonane w wysokim standardzie z dbałością o szczegóły z klimatyzacją 
i  szybkim  Internetem (300Mb)w cenie wynajmu. Idealne dla osób, które chcą cieszyć się bliskością tętniącego życiem miasta, a jednocześnie wracać do spokojnego, zacisznego miejsca.

ZNAKOMITA LOKALIZACJA

Mieszkanie znajduje się  na terenie dużego osiedla o doskonałej infrastrukturze. W pobliżu bloku sklepy Lewiatan, Biedronka, Żabka, apteka, poczta, przychodnia, kościół, restauracje, pub, fitness, basen, tenis, centrum handlowe, kościół, bank, park i  wiele innych lokali usługowych. Osiedle znajduje się w miejscu bardzo dobrze skomunikowanym. Przy bloku jest przystanek MPK linii autobusowych: 137, 503, 637 z bezpośrednim połączeniem do głównych uczelni, centrum miasta i dalej w kierunku Prokocimia. W pobliżu przystanek tramwajowy Górki Narodowej  (5 min. pieszo). Linie tramwajowe (18, 50). 50 jedzie na dworzec, 18 bezpośrednio na rynek do Centrum. 
W kilkanaście minut można dojechać samochodem lub rowerem w okolice Rynku Głównego.

Składa się z przestronnego salonu z aneksem kuchennym i jadalnią, oddzielnego pokoju, łazienki
z WC oraz przedpokoju. Atutem jest przestronny balkon z wyjściem z salonu na loggię. Do mieszkania należy też komórka lokatorska znajdująca się na parterze. Ogrzewanie i ciepła woda z kotłowni usytuowanej w budynku. Dla mieszkańców dostępna jest rowerownia. Wejście na klatki   i wjazd do miejsc parkingowych chroniony elektronicznym systemem dostępu.

W kuchni i salonie: w zabudowie nowy sprzęt AGD (lodówka, zmywarka, płyta indukcyjna, piekarnik
z mikrofalą oraz nowe garnki, sztućce, talerze, komplet filiżanek do kawy), rozkładana dwuosobowa kanapa, stół z krzesłami, ścianka RTV. W salonie zasłony zasłaniające okno i ścianę. 
W drugim pokoju dwuosobowa, rozkładana kanapa, biurko z lampką oraz dużo miejsca do przechowywania - wygodne półki ścienne i pojemna szafa. Okno wyposażone w roletę rzymską. Meble solidnie wykonane na wymiar przez stolarza. 
W łazience znajdują się: wanna z osłoną prysznicową, pralka, kosz na bieliznę, pojemna szafka.
W przedpokoju duże szafy w zabudowie z miejscem na buty i drobiazgi.
Dodatkowe wyposażenie: odkurzacz, żelazko, deska do prasowania, suszarka na bieliznę, akcesoria kuchenne i łazienkowe.
We wszystkich pomieszczeniach energooszczędne oświetlenie led.

Miesięczny koszt mieszkania to: najem 3200 zł oraz energia elektryczna i czynsz z mediami
(wg faktycznie ponoszonych kosztów – czynsz dla 2 osób ok 500zł ). Kaucja zwrotna 3500 zł. Mieszkanie dedykowane singlom lub parom.
Możliwość wynajęcia wygodnego szerokiego miejsca postojowego w garażu podziemnym  za dodatkową opłatą 300 zł.
Do wynajęcia na zasadzie umowy najmu okazjonalnego (bez zwierząt i palenia w mieszkaniu tytoniu
i innych używek).
Mieszkanie do wynajęcia od 1 maja 2025 roku. Osoby zainteresowane prosimy o kontakt telefoniczny. 50*****01, 50*****81

Zapraszam do kontaktu i na prezentację!",PrywatneZwierzęta: NieWinda: TakParking: w garażuPoziom: 9Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 45 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 500 zł,https://www.olx.pl/oferta/wynajme-dwupokojowe-mieszkanie-ul-meiera-16e-krakow-CID3-ID151duy.html
Do wynajęcia trzypokojowe mieszkanie z balkonem przy ul. Odrzańskiej.,2 600 zł,46 m²,"Kraków, Łagiewniki-Borek Fałęcki - Odświeżono Dzisiaj o 08:16","Do wynajęcia trzypokojowe mieszkanie z balkonem przy ul. Odrzańskiej. Mieszkanie znajduje się na dziewiątym piętrze w jedenastopiętrowym budynku z lat 80-tych. Ma powierzchnię 46 m2, a w jego skład wchodzą:  salon z aneksem kuchennym, dwa pokoje, łazienka oraz balkon. Mieszkanie jest częściowo umeblowane. Okna o ekspozycji wschodniej i zachodniej. Mieszkanie zostało odświeżone, a łazienka przeszła remont.


Lokalizacja:
Zlokalizowane blisko pętli autobusowo-tramwajowej Łagiewniki (10 minut pieszo). Najbliższy przystanek “Borsucza“ (5 min.)

Cena: 2600PLN + czynsz  + media(prąd, gaz) według licznika.
W czynszu zawarte są:
- ogrzewanie miejskie
- administracja
- woda i ścieki 
- ciepła woda
- wywóz śmieci
- fundusz remontowy
- odpady

W tej chwili to kolo 670zł jeśli mieszka 1 osoba, a kolo 900 za 4 osoby( w zależności od deklaracji zużycia wody)

Wymagana kaucja: 3500PLN

Umowa najmu okazjonalnego.
Więcej informacji pod numerem: 60*****74

Zapraszam do oglądania!",PrywatneWinda: TakParking: przynależne na ulicyPoziom: 9Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 46 m²Liczba pokoi: 3 pokojeCzynsz (dodatkowo): 640 zł,https://www.olx.pl/oferta/do-wynajecia-trzypokojowe-mieszkanie-z-balkonem-przy-ul-odrzanskiej-CID3-ID14Yaxm.html
"Nowe Mieszkanie Apartament Kościuszki Salwator, wysoki standard",3 200 zł,36 m²,"Kraków, Zwierzyniec - Odświeżono Dzisiaj o 10:57","Do wynajęcia od zaraz piękne mieszkanie w luksusowym budynku przy ulicy gen. Tadeusza Kościuszki w dzielnicy Krowodrza.

LOKALIZACJA
Dzielnica: Krowodrza
Ulica: Gen. Tadeusza Kościuszki
W pobliżu: Komunikacja miejska, Jubilat, Salwator, Liczne punkty usługowe oraz gastronomiczne, Wawel, Błonia Krakowskie

Rodzaj budynku: Nowoczesny apartamentowiec
Rok budowy: 2022r
Udogodnienia: Widok na Kopiec Tadeusza Kościuszki, klimatyzacja, wideodomofon, monitoring, szybkobieżna winda,

Apartament:
Piętro: 4 z 4
Powierzchnia: 36m2
Ekspozycja: zachód
Pokoje: Salon z wydzieloną sypialnią, otwarta kuchnia, przedpokój, łazienka, garderoba,
Wyposażenie: Pralka, telewizor jeżeli osoba wynajmująca będzie chciała, odkurzacz, piekarnik, płyta indukcyjna, zmywarka, okap.

Mieszkanie znajduje się w luksusowym budynku przy świeżo wyremontowanej ulicy Kościuszki. Wysoka klasa wykończenia oraz gustownie urządzone. Mieszkanie jest w pełni wyposażone. Istnieje możliwość wynajęcia miejsca w garażu podziemnym.

DODATKOWE INFORMACJE
- ogrzewanie miejskie
- budynek strzeżony: alarm, domofon, monitoring
- ciche i spokojne miejsce w centrum miasta
- ekspozycja: zachodnia
- gustownie wykończone
- wysoki standard
- dostępne od zaraz
- preferowana umowa najmu okazjonalnego min. 12m-cy
- zwierzęta są nieakceptowane

CENA
- 3200 zł czynsz dla właściciela
- około 500 zł opłat administracyjnych
- prąd wg. zużycia
- 5000 zł kaucja zwrotna

Agentów nieruchomości proszę o nie dzwonienie.",PrywatneZwierzęta: NieWinda: TakParking: w garażuPoziom: 4Umeblowane: TakRodzaj zabudowy: ApartamentowiecPowierzchnia: 36 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 500 zł,https://www.olx.pl/oferta/nowe-mieszkanie-apartament-kosciuszki-salwator-wysoki-standard-CID3-ID14Vjg3.html
"Kraków, ul. Szuwarowa (Ruczaj) - 46 m2 - dwupoziomowe",2 800 złdo negocjacji,45 m²,"Kraków, Dębniki - Odświeżono dnia 24 marca 2025","Jasne, przestronne mieszkanie przy ul. Szuwarowej (Ruczaj) do wynajęcia - o pow. 46 m2, dwupoziomowe na IV p. Mieszkanie składa się z:
pokoju dziennego z aneksem kuchennym, 
drugiego pokoju z przeznaczeniem na np. gabinet, sypialnia,  
dodatkowej kameralnej sypialni na II poziomie,
przedpokoju, 
łazienki, 
balkonu.  
Mieszkanie jest umeblowane, urządzone i gotowe do zamieszkania - kompletne AGD. Możliwa jest też zmiana lub dokupienie dodatkowego umeblowania. W podziemnym garażu pod budynkiem możliwe jest wynajęcie zamykanego boksu garażowego (wejście z klatki schodowej), za dodatkową opłatą. W budynku jest ogólnodostępna zamykana wózkownia i pomieszczenie dla rowerów.

Osiedle jest monitorowane, bezpieczne, z dostępem do infrastruktury sportowo-rekreacyjnej (basen, siłownia, korty tenisowe, stadnina koni), dobrze skomunikowane z centrum - linie tramwajowe i autobusowe, dobry dojazd do A4 i lotniska. Osiedle posiada liczne sklepy, punkty handlowo-usługowe, restauracje, itp.

Cena najmu - odstępne 2.800 zł + opłaty wg zużycia.

telefon kontaktowy - 60*******85","PrywatneZwierzęta: NieWinda: NieParking: przynależne na ulicy, w garażuPoziom: 4Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 45 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 700 zł",https://www.olx.pl/oferta/krakow-ul-szuwarowa-ruczaj-46-m2-dwupoziomowe-CID3-ID14VyOO.html
wynajem od właściciela od 1.04  - Kurdwanów ul. Wysłouchów,2 900 zł,50 m²,"Kraków, Podgórze Duchackie - Odświeżono Dzisiaj o 08:45","Do wynajęcia od 1 kwietnia dwupokojowe mieszkanie – ul. Wysłouchów, Kurdwanów. 
Mieszkanie znajduje się na 1. piętrze w czteropiętrowym budynku . 

Opis mieszkania:

Powierzchnia: 50 m²
2 niezależne pokoje - umeblowane 
Kuchnia – w pełni wyposażona:  piekarnik, lodówka.
Łazienka – pralka, prysznic.
Ekspozycja okien: południe i północ, co zapewnia dobre doświetlenie przez cały dzień.
W piwnicy do użytku - komórka lokatorska o powierzchni ok. 4 m².
Parking ogólnodostępny przed budynkiem.

Koszty:

Cena najmu: 2900 PLN (czynsz administracyjny wliczony )  + prąd i gaz około 150 PLN (w zależności od zużycia).  Internet 50 PLN.
Kaucja zwrotna: 3000 PLN",PrywatneZwierzęta: TakWinda: NieParking: przynależne na ulicyPoziom: 1Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 50 m²Liczba pokoi: 2 pokoje,https://www.olx.pl/oferta/wynajem-od-wlasciciela-od-1-04-kurdwanow-ul-wyslouchow-CID3-ID14SuIJ.html
