Title,Price,Area,Address,description,table,Link
wynajme mieszkanie,2 400 złdo negocjacji,57 m²,"Łódź, Widzew - 24 marca 2025","Wynajme loft u Scheiblera na pietrze I w glownym wejsciu na dzialalnosc lub prywatnie.
Loft sklada sie z jednego oddzielnego pokoju, lazienki z natryskiem  i otwartej przestrzeni z aneksem kuchennym. Calosc wykonczona podloga drewniana z merbau i gres w lazience. W sypialni duze lozko 220x160. 
Apartament moze byc dostosowany tez dla firmy.",PrywatneZwierzęta: NieWinda: TakParking: brakUmeblowane: TakRodzaj zabudowy: LoftPowierzchnia: 57 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 700 zł,https://www.olx.pl/d/oferta/wynajme-mieszkanie-CID3-ID154Ikp.html
Nowa kawalerka 28m2 Osiedle Bliski Olechów,2 300 złdo negocjacji,28 m²,"Łódź, Widzew - 21 marca 2025","Do wynajęcia, piękna, nowa  kawalerka
-bezpośrednio od właściciela 
-duży taras 

Bardzo wysoki standard wykończenia

Nowe i w pełni wyposażone.

Powierzchnia apartamentu: 28m2
Powierzchnia tarasu :8m2
Lokalizacja :
Ul.Odnowiciela 

Wszystkie sprzęty renomowanych marek, na gwarancji.

Miejsce parkingowe pod blokiem ,teren zamknięty 

Wyposażenie:
- piekarnik, 
- płyta indukcyjna, 
- okap,
- zmywarka
- sztućce,
- talerze, 
- miski, 
- szklanki,
- filiżanki do herbaty, 
- deski do krojenia, 
- komplet garnków,
- komplet patelni, 
- przybory do gotowania.
- kołdra i dwie poduszki
- pralka
- szafa gospodarcza (mop,odkurzacz,deska do prasowania ,suszarka do ubrań,żelazko)
- TV 55`

Na podłogach gres wysokiej jakości 

Warunki najmu:
Odstępne 2200 PLN
Opłata eksploatacyjna i zaliczka na media 250zł (czynsz)+ 70-80zł(prąd)
TV+internet- 70zł 

Razem wszystkich opłat z parkingiem:
ok.2600zł/mc
Kaucja 3500

Gotowe do zamieszkania, bez ponoszenia dodatkowych kosztów .

BRAK PROWIZJI 

Mieszkanie dla osób niepalących,bez dzieci oraz zwierząt.

Bliski Olechów jest świetnie zlokalizowana przy ulicy Odnowiciela, w bliskości drogi wylotowej na A1 oraz kilku przystanków komunikacji zarówno tramwajowej jak i autobusowej.
Tuż przy bloku market i myjnia 
samochodowa. 

Bliski Olechów znajduje się przy Parku Źródła Olechówki oraz innych terenach zielonych wyposażonych w m.in. tężnię solankową, nowoczesne place zabaw dla dzieci oraz infrastrukturę sportowo-rekreacyjną.

Zapraszam do kontaktu .
Beata 73*******69",PrywatneZwierzęta: NieWinda: TakParking: parking strzeżonyPoziom: 2Umeblowane: TakRodzaj zabudowy: ApartamentowiecPowierzchnia: 28 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 250 zł,https://www.olx.pl/d/oferta/nowa-kawalerka-28m2-osiedle-bliski-olechow-CID3-ID125EPS.html
Ładne mieszkanie 2 pokojowe (po remoncie),1 490 zł,42 m²,"Łódź, Śródmieście - Odświeżono dnia 24 marca 2025","Mam do wynajęcia ładne mieszkanie (2 pokoje, kuchnia i łazienka). Lokalizacja mieszkanie to centrum Łodzi. Osoby zainteresowane proszę o kontakt. Cena 1490 plus 510 zł",PrywatneUmeblowane: TakRodzaj zabudowy: PozostałePowierzchnia: 42 m²Liczba pokoi: 2 pokoje,https://www.olx.pl/d/oferta/ladne-mieszkanie-2-pokojowe-po-remoncie-CID3-ID14MH1w.html
Wynajme kawalerke Okrzei kolo Manufaktury,1 350 zł,30 m²,"Łódź, Bałuty - Odświeżono dnia 24 marca 2025","Wynajmę kawalerkę ul Okrzei w Łodzi , 300 m od Manufaktury. Mieszkanie po generalnym remoncie 2 lata temu, bardzo jasna i funkcjonalna. Osobna kuchnia, 4 piętro. Dostępne od 1 kwietnia",PrywatneZwierzęta: NieWinda: NieParking: brakPoziom: 4Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 30 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 450 zł,https://www.olx.pl/d/oferta/wynajme-kawalerke-okrzei-kolo-manufaktury-CID3-ID14PEzd.html
Kawalerka | -50% PIERWSZY MIESIĄC,1 600 zł,"25,97 m²","Łódź, Śródmieście - Odświeżono Dzisiaj o 11:37",brak opisu otodom,brak opisu otodom,https://www.otodom.pl/pl/oferta/kawalerka-50-pierwszy-miesiac-ID4wmjw.html
Kawalerka 37 m Widzew Wschód,1 500 zł,37 m²,"Łódź, Widzew - Odświeżono dnia 24 marca 2025","Do wynajęcia przestronne jasne i bardzo ciche mieszkanie o powierzchni 37 m2 z dużym balkonem. 
Z mieszkania wygodnie mogą korzystać dwie osoby.
Mieszkanie składa się z:
•   pokój wyposażony w kanapę rozkładaną, szafę, regały, krzesła, stół rozkładany,
•   kuchnia z oknem (lodówka z zamrażalnikiem, kuchnia gazowa z piekarnikiem, meble kuchenne, stół, krzesła,
•   łazienka z toaletą i wanną, pralka, 
•   przedpokój z szafą,
•   balkon,
•   piwnica, w której zmieszczą się 2 rowery.

Wynajmujący może wyposażyć mieszkania zgodnie z potrzebami najemców, min. druga kanapa, biurka do pracy i nauki, itp. 

Piętro 4. Dwie windy.

Mieszkanie zlokalizowane w rejonie skrzyżowania ulic Puszkina i Wujaka. Miejsce znakomicie skomunikowane z wszystkimi dzielnicami Łodzi (tramwaje, autobusy). Do dworca Łódź Widzew 10 min spacerem. W sąsiedztwie Galeria Widzewska. Aldi, Stokrotka, Biedronka, wiele innych sklepów, rynek, pizzerie, restauracje, lasek widzewski – rozległy piękny park z bogatą infrastrukturą rekreacyjną. Kryty basen.

Opłaty eksploatacyjne ok. 600 zł (opłaty eksploatacyjne, woda, ogrzewanie, wywóz śmieci,  gaz, prąd, internet. Woda ciepła i zimna oraz prąd - rozliczane są wg faktycznego zużycia na podstawie odczytów liczników.

Mieszkanie wyposażone w światłowodową sieć internetową i telewizyjną.

Swoboda parkowania samochodów.

Kaucja 2500 zł.

Kontakt Iwona 60*******50>

Kontakt: Iwona, +48**********50

Biurom pośrednictwa dziękuję.",PrywatneZwierzęta: NieWinda: TakPoziom: 4Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 37 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 600 zł,https://www.olx.pl/d/oferta/kawalerka-37-m-widzew-wschod-CID3-ID1533oG.html
Kawalerka ul. Lipowa 53 | Centrum | Możliwość parkingu na posesji,1 400 zł,35 m²,"Łódź, Śródmieście - Odświeżono dnia 24 marca 2025","Na wynajem komfortowe, duże (25 i 35m2) kawalerki, położone przy ul. Lipowej 53, w samym sercu miasta. Świetna lokalizacja, szczególnie dla studentów i osób pracujących, z doskonałym dostępem do kluczowych punktów - Manufaktury, Piotrkowskiej, Uniwersytetu czy Politechniki, bardzo dobrze skomunikowane.

Dostępne od zaraz, można wynająć nawet na pół roku. 

Wyposażenie kawalerki:
- Rozkładana sofa, która zapewnia wygodę zarówno do spania, jak i codziennego relaksu.
- Pojemna szafa na ubrania, komoda oraz szafki, dodatkowo stół z krzesłami.
- Aneks kuchenny wyposażony w płytę, piekarnik, idealny do przygotowywania posiłków, jak również lodówkę, zlew, szeroki blat roboczy i dużą ilość szafek kuchennych. W jednej z kawalerek połączona z pokojem, w drugiej jest osobnym pomieszczeniem. 

Łazienka: nowoczesna, wyposażona w prysznic, który zapewnia relaks po długim dniu, pralkę, umywalkę i toaletę – czyli wszystko, co potrzebne do codziennego komfortu.

Urządzenia gospodarcze: we własnym zakresie.

Ogrzewanie: miejskie wliczone w cenę najmu

Internet: we własnym zakresie

Telewizja: we własnym zakresie

Parking: w strefie parkowania płatnego, możliwość wykupienia parkingu na terenie posesji za 150zł/mc

Cena: 1400zł czynsz + 600zł czynsz adm + 150zł media + 45zł Internet = 2200zł całość
Kaucja jest wymagana, nierozkładalna na raty, standardowa wynosi 2400zł.

Przez cały okres najmu mieszkanie i najemcy znajdują się pod nasza opieką. Nasz zespół zapewnia stałą opiekę techniczną i administracyjną. W razie nieprzewidzianych sytuacji nie jesteś pozostawiony sam z problemem!",PrywatneZwierzęta: TakWinda: NiePoziom: 1Umeblowane: TakRodzaj zabudowy: KamienicaPowierzchnia: 35 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 600 zł,https://www.olx.pl/d/oferta/kawalerka-ul-lipowa-53-centrum-mozliwosc-parkingu-na-posesji-CID3-ID14Su52.html
"Mieszkanie na wynajem Brzeska 22, parking zamknięty",3 000 zł,38 m²,"Łódź, Śródmieście - Odświeżono dnia 24 marca 2025","Wynajmij przytulne mieszkanie na parterze – 38 m², pełen komfort!

Zapraszam do wynajmu przytulnego mieszkania o powierzchni 38 m², usytuowanego na parterze w spokojnej i dobrze skomunikowanej okolicy. Idealne dla singla, pary lub osoby pracującej zdalnie!

Opis mieszkania:

Powierzchnia: 38 m²

Piętro: Parter

Internet i wszystkie media w cenie!

Możliwość wynajęcia zamkniętego parkingu na terenie – dodatkowo płatne 150 zł miesięcznie.

Lokalizacja:
Mieszkanie znajduje się w cichej okolicy z łatwym dostępem do sklepów, przystanków komunikacji miejskiej oraz terenów zielonych. Adres Brzeska 22 Łódź

Dodatkowe atuty:

Komfortowe i funkcjonalne wnętrze.

Internet w cenie – idealne dla osób pracujących zdalnie!

Możliwość wynajęcia miejsca parkingowego na zamkniętym terenie – bezpiecznie i wygodnie.

Mieszkanie posiada wyjście na trawnik i meble ogrodowe

Cena:
Cena wynajmu obejmuje internet oraz wszystkie media, co oznacza brak dodatkowych kosztów!

Nie czekaj! Skontaktuj się już teraz i umów na prezentację.",PrywatneZwierzęta: NieWinda: TakParking: przynależne na ulicyPoziom: ParterUmeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 38 m²Liczba pokoi: 2 pokoje,https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-brzeska-22-parking-zamkniety-CID3-ID150ZBa.html
Nowoczesne 2 pokoje przy Rondzie Solidarności – wysoki standard,2 200 zł,36 m²,"Łódź, Śródmieście - Odświeżono Dzisiaj o 13:09","Nowoczesne 2 pokoje przy Rondzie Solidarności – wysoki standard

Szukasz przytulnego, nowoczesnego mieszkania w świetnej lokalizacji? To może być idealne miejsce dla Ciebie. Mieszkanie jest świeżo po kapitalnym remoncie, urządzone w wysokim standardzie i gotowe do zamieszkania od końca marca.

Najważniejsze informacje:
- Lokalizacja: Łódź, ul. Źródłowa 43 (Rondo Solidarności)
- Powierzchnia: 36 m²
- Piętro: 1 – wygodny dostęp, bez uciążliwego wchodzenia po schodach
- Układ: Salon z aneksem kuchennym, oddzielna sypialnia, łazienka
- Stan: Po kapitalnym remoncie, nowoczesne, zadbane, gotowe do wprowadzenia

Koszty:
- Czynsz najmu: 2200 zł
- Czynsz administracyjny: 290 zł
- Kaucja: 3000 zł
- Media: według zużycia

Mieszkanie świetnie sprawdzi się dla singla lub pary, którzy cenią wygodę i dobrą lokalizację. Blisko do komunikacji miejskiej, sklepów i uczelni. Jeśli szukasz miejsca, gdzie można się komfortowo urządzić, zapraszam do kontaktu.",FirmoweZwierzęta: TakWinda: NiePoziom: 1Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 36 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 290 zł,https://www.olx.pl/d/oferta/nowoczesne-2-pokoje-przy-rondzie-solidarnosci-wysoki-standard-CID3-ID14RqgR.html
"Kawalerka | Śródmieście | Bezpośrednio, bez prowizji | Pets Friendly",1 920 zł,"34,30 m²","Łódź, Śródmieście - Odświeżono Dzisiaj o 11:59","| English below |

Kawalerka DOSTĘPNA OD ZARAZ

Lokal znajduje się w świetnym punkcie komunikacyjnym w centrum Łodzi – ul. Kilińskiego 127.

W pobliżu galeria handlowa – Galeria Łódzka, biura, restauracje, kino i tereny rekreacyjne (park Żródliska i Park Sienkiewicza) oraz ul. Piotrkowska.

Przystanek tramwajowy, autobusowy – 1 min.

Opłaty miesięczne przy podpisaniu umowy na 12 miesięcy: 2 300 zł+ media 

w tym: opłata podstawowa: 1 920 zł + opłata administracyjna: 380  zł 

+media (według zużycia prąd, ogrzewanie, woda, wywóz śmieci) 

Jest możliwość podpisania umowy na krótszy termin. 

Wymagany depozyt zabezpieczający. 

Umeblowanie i wyposażenie: 

-Aneksu kuchennego wyposażonego w nowy sprzęt AGD (lodówkę z zamrażarką, zmywarkę, płytę grzewczą z okapem, piekarnikiem);

-Pokoju dziennego z rozkładaną kanapą, szafką RTV, stolikiem kawowym, stołem z krzesłami, szafą ubraniową;

-Łazienki z prysznicem.

Do wynajęcia jest miejsce parkingowe i/lub pomieszczenie gospodarcze - dodatkowo płatne.

Zwierzęta są mile widziane - żadnych opłat dodatkowych :)

Dodatkowe atuty: 

Całodobowy monitoring. 

Obsługa administratora - pomoc w razie awarii i drobne naprawy. 

Możliwość wynajęcia miejsca parkingowego i pomieszczenia gospodarczego za dodatkową opłatą. 

Bezpłatna rowerownia. 

WiFi UPC dostępne w lokalu bez dodatkowej opłaty 

Resi4Rent właściciel komfortowych mieszkań na wynajem bez pośredników i dodatkowych kosztów. U nas mieszkasz jak chcesz, z kim chcesz i ile chcesz.

***

Studio AVAILABLE NOW

The apartment is located in a great transportation point in the center of Łódź - 127 Kilińskiego Street.

Nearby shopping mall - Galeria Lodzka, offices, restaurants, cinema and recreational areas (park Zródliska and Park Sienkiewicza) and Piotrkowska street.

Streetcar stop, bus stop - 1 min.

Monthly fees when signing a contract for 12 months: 2 300 PLN+ utilities 

including: basic fee: 1 920 zł + administration fee: 380 zł  +media (according to consumption, electricity, heating, water, waste disposal) 

There is a possibility to sign a contract for a shorter term. 

Security deposit required. 

Furnishings and equipment: 

-Kitchen annex equipped with new household appliances (refrigerator with freezer, dishwasher, cooktop with hood, oven);

-Living room with sofa bed, RTV cabinet, coffee table, table with chairs, closet;

-Bathroom with shower.

There is a parking space and/or utility room for rent - extra charge.

Pets are welcome - no extra charge :)

Additional perks: 

24-hour monitoring. 

Administrator service - assistance in case of emergencies and minor repairs. 

Possibility to rent a parking space and utility room for an additional fee. 

Free bicycle room. 

UPC WiFi available at the premises at no additional charge. 

Resi4Rent owner of comfortable apartments for rent without intermediaries and additional costs. With us you live how you want, with whom you want and how much you want.

Ogłoszenie ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego. Ceny są podane poglądowo i nie są wiążące, a dostępność nie jest gwarantowana z uwagi na skierowanie ogłoszenia do większego grona odbiorców.

Ogłoszenie publikowane jest przez przedsiębiorcę, w ramach prowadzonej przez niego działalności gospodarczej, tj. spółkę R4R Łódź Kilińskiego Sp. z o.o. z siedzibą w Warszawie przy ul. Litewskiej 1, 00-581 Warszawa, wpisaną do rejestru przedsiębiorców Krajowego Rejestru Sądowego pod numerem KRS: 0000894099.","FirmoweZwierzęta: TakWinda: TakPoziom: 1Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 34,30 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 380 zł",https://www.olx.pl/d/oferta/kawalerka-srodmiescie-bezposrednio-bez-prowizji-pets-friendly-CID3-ID14Yt2q.html
