Title,Price,Area,Address,description,table,Link
NOWE MIESZKANIE/3 Pokoje/2 Loggie/Garaż/ul.Marywilska,3 300 zł,50 m²,"Warszawa, Białołęka - Odświeżono Dzisiaj o 08:52","3 POKOJE / 2 LOGGIE / GARAŻ PODZIEMNY / MARYWILSKA!

Oferuję do wynajęcia 3 pokojowe mieszkanie o powierzchni 50m na nowo wybudowanym osiedlu miasteczka Nova Sfera przy ulicy Marywilskiej 13 na przełomie dzielnic Białołęka i Targówek.

Osiedle jest chronione i znajduje się w cichej i dobrze skomunikowanej okolicy.
-przystanek autobusowy przy budynku. Linie: 112, 114, 134, 145, 156, 731
-Metro M2 4 minuty (dwa przystanki autobusowe),
-bezpośrednio przy zjeździe na trasę S8
-do centrum 15 min.
-przy osiedlu stacja SKM Toruńska
-w pobliżu przystanek tramwajowy Annopol
-na osiedlu znajduje się sklep ŻABKA
-osiedle z pasażem usługowym na parterze
-piekarnia SPC 3 min piechotą
-w bliskim sąsiedztwie duże centra handlowe: FACTORY Annopol, Atrium Targówek, Auchan Modlińska, Leroy Merlin
Mieszkanie znajduje się na 1 piętrze w trzy piętrowym budynku z windą.
Osiedle chronione i monitorowane.

W pełni umeblowane nowymi rzeczami, mieszkanie składa się z salonu z aneksem kuchennym,
dwóch osobnych sypialni, korytarza i łazienki. Mieszkanie posiada również dwie loggie.
Jest w pełni wyposażone w potrzebne sprzęty RTV i AGD, dodatkowo mieszkanie wyposażone jest w klimatyzację.

CENA:

Wynajem 3300zł plus czynsz administracyjny 1000zł.Kaucja 5000 zł.

Do mieszkania przynależy miejsce parkingowe w garażu podziemnym- płatne dodatkowo 200 zł

Wynajem na minimum rok na podstawie umowy najmu okazjonalnego podpisywanej notarialnie.

POLECAM I ZAPRASZAM NA PREZENTACJĘ!

Oferta Biura Nieruchomości.",FirmoweZwierzęta: NieWinda: TakParking: w garażuPoziom: 2Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 50 m²Liczba pokoi: 3 pokojeCzynsz (dodatkowo): 1 000 zł,https://www.olx.pl/oferta/nowe-mieszkanie-3-pokoje-2-loggie-garaz-ul-marywilska-CID3-ID14QxWo.html
Mieszkanie-2 oddzielne niezależne pokoje ul.Złoty Potok,3 500 zł,42 m²,"Warszawa, Ursynów - Odświeżono dnia 24 marca 2025","Wynajmę bezpośrednio od 1 maja  2025r. jasne i przestronne mieszkanie o powierzchni 42m2 na Ursynowie/Służewcu przy ul. Złoty Potok .Składające się z dwóch oddzielnych niezależnych pokoi ,kuchni , łazienki ,przedpokoju oraz balkonu. Mieszkanie w pełni umeblowane oraz wyposażone w sprzęt AGD (pralka , lodówka, mikrofalówka piekarnik ,zmywarka ,indukcja ,odkurzacz).W każdym pokoju jest szafa ,komoda i kanapa.

Teren osiedla zamknięty i monitorowany.Osiedle pięknie zagospodarowane w tereny zieleni ,  place zabaw i  dwa sztuczne jeziorka przy których spędzisz miło czas.Na osiedlu liczne punkty gastronomiczne i usługowe .
Mieszkanie znajduje się w świetnej lokalizacji  bardzo dobry dojazd do Lotniska Chopina ,Galerii Mokotów ,Business  Park,tor wyścigów konnych oraz blisko  Mordoru.
Cena najmu to 3500 + czynsz administracyjny 810 zł  (zawarte zaliczki na media rozliczane co pół roku ) Prąd rozliczny według zużycia . Dodatkowo możliwość wynajęcia miejsca postojowego w garażu podziemnym cena 200 zł.
Wynajem od 1 maja ,umowa 1 rok ,kaucja w wysokości 4500zł. 
Zapraszam do kontaktu tel-6********48",PrywatneZwierzęta: NieWinda: TakParking: w garażuPoziom: 1Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 42 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 810 zł,https://www.olx.pl/oferta/mieszkanie-2-oddzielne-niezalezne-pokoje-ul-zloty-potok-CID3-ID151Nem.html
Nowe umeblowane mieszkanie z garażem Warszawa Białołęka Duninów,2 800 złdo negocjacji,48 m²,"Warszawa, Białołęka - 24 marca 2025","Wynajmę nowe komfortowe mieszkanie w nowym bloku na Białołęce na ulicy Duninów 8.
Mieszkanie 48m2 + miejsce w garażu podziemnym + komórka lokatorska.
Mieszkanie znajduje się na 3 piętrze a budynek wyposażony jest w windę. 
Dobra lokalizacja: niedaleko jest Galeria Północna, Biedronka, siłowania, przystanki autobusowe przy ulicy Modlińskiej. 
Wszystkie meble i sprzęty nowe. Mieszkanie ładnie wykończone i przytulne. 
Tylko dla niepalący i bez zwierzaków.
Wynajem długoterminowy z umową na rok lub dwa lata. 
Umowa najmu podpisywana za pośrednictwem notariusza – umowa najmu okazjonalnego (koszt dzielony po połowie).
Opłaty: 2800zł + opłaty w wysokości ok. 800-900 zł  (czynsz administracyjny dla spółdzielni, w tym zaliczki na wodę, ścieki, wywóz śmieci, ogrzewanie). Kwota oszacowana na chwilę obecną, uzależniona w przyszłości od zużycia mediów i wzrostu cen.
Kaucja: 5000zł
Zapraszam!",PrywatneZwierzęta: NieWinda: TakParking: w garażuPoziom: 3Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 48 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 800 zł,https://www.olx.pl/oferta/nowe-umeblowane-mieszkanie-z-garazem-warszawa-bialoleka-duninow-CID3-ID14pN0V.html
1-pok. / Mokotów ul. Madalińskiego / Metro / Park,2 000 zł,33 m²,"Warszawa, Mokotów - Odświeżono Dzisiaj o 10:30",brak opisu otodom,brak opisu otodom,https://www.otodom.pl/pl/oferta/1-pok-mokotow-ul-madalinskiego-metro-park-ID4wsrv.html
"APARTAMENT na Solcu, 2xMIEJSCE PARKINGOWE, taras, piwnica, bez %",6 900 zł,63 m²,"Warszawa, Śródmieście - Odświeżono dnia 24 marca 2025","Wynajmę bezpośrednio, KOMFORTOWY APARTAMENT na Solcu, z balkonem oraz z podwójnym MIEJSCEM PARKINGOWYM w garażu. W budynku portiernia czynna 6.00 – 18.00 oraz całodobowy monitoring. Budynek projektowała pracownia arch. Kuryłowicza & A., wykończenie powierzchni wspólnych z bardzo eleganckich materiałów, czyste i estetyczne.
Słoneczne i przestronne, mieszkanie to 61 m2, wysokie na 3,20, składa się z eleganckiej kuchni w zabudowie i sprzętem AGD, przytulnego salonu z wyjściem na duży balkon (2x4m), osobnej garderoby, sypialni, łazienki z wanną, przedpokoju. Ekspozycja okien na dwie strony świata płd. i zach., wychodzące na kameralne podwórko. Do mieszkania przypisana jest komórka lokatorska (1,55 x 2m), dwa miejsca parkingowe z prywatną wnęką na rowery lub skuter. Wysoki parter, winda. Generalny remont 2020, obecnie odświeżone.

Położenie: Największym atutem nieruchomości jest jej położenie, na wprost urokliwego i zielonego Parku Rydza Śmigłego (200 m do Pomnika Sapera, w okolicy Bulwary Wiślane, Park Łazienkowski i Agrykola, ścieżki rowerowe, OSIR Solec, basen „Rozbrat”, lodowisko Torwar).
Do Placu III Krzyży czy ronda De Gaulle'a jest 10 min drogi spacerem, wygodnymi parkowymi alejkami. Dojazd do centrum zajmuje 5 minut oraz 8 minut spacerem do M2 „Centrum Nauki”. Okolica jest bardzo cicha.

Cena: Koszt wynajmu to 6900 PLN + opłata za prąd według zużycia. Dwa miejsca parkingowe tzw. ""rodzinne"" dodatkowo płatne 1000 zł/m-c, umowa min rok.",PrywatneZwierzęta: TakWinda: TakParking: w garażuPoziom: ParterUmeblowane: TakRodzaj zabudowy: ApartamentowiecPowierzchnia: 63 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 1 000 zł,https://www.olx.pl/oferta/apartament-na-solcu-2xmiejsce-parkingowe-taras-piwnica-bez-CID3-ID14QLn2.html
Dwupokojowe mieszkanie z balkonem 42 m2  Broniewskiego 83,2 600 zł,42 m²,"Warszawa, Bielany - Odświeżono Dzisiaj o 12:15","Bez prowizji 
Dwupokojowe mieszkanie z balkonem i osobną kuchnią o powierzchni 42 m2 na 8 piętrze w 10-piętrowym bloku  Broniewskiego 83. Okna od wschodniej strony.
Mieszkanie w pełni urządzone. 
Kuchnia: lodówka duża z zamrażarką, zmywarka, kuchnia gazowa 4 palnikowa,  piekarnik. 
Sypialnia: łóżko 140 cm, komoda, 2 szafki nocne.  
Salon: rozkładane łóżko Ikea, 2 pojemne szafy, fotel, stół, 4 krzesła, meblościanka, telewizor . 
Łazienka: WC, umywalka, wanna, pralka.
Budynek znajduje się na ul. Broniewskiego 83. Świetna komunikacja: przystanek tramwajowy 22, 28, 33, 35, przystanek autobusowy 103, dwa przystanki do metra Stare Bielany.
Pod blokiem sklep spożywczy oraz inne usługi, przedszkole.
Opłaty: 
Czynsz 2 600 PLN 
Czynsz administracyjny: 600 PLN
zaliczka za media (woda, prąd, gaz, wywóz śmieci, Internet) 450 PLN
Kaucja zwrotna: 4 500 PLN",FirmoweWinda: TakPoziom: 8Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 42 m²Liczba pokoi: 2 pokojeCzynsz (dodatkowo): 600 zł,https://www.olx.pl/oferta/dwupokojowe-mieszkanie-z-balkonem-42-m2-broniewskiego-83-CID3-ID14Umzd.html
"Miasteczko Wilanów,Umeblowane M2, balkon, garaż 0%",2 950 zł,41 m²,"Warszawa, Wilanów - Odświeżono dnia 24 marca 2025",brak opisu otodom,brak opisu otodom,https://www.otodom.pl/pl/oferta/miasteczko-wilanow-umeblowane-m2-balkon-garaz-0-ID4wx9d.html
Do wynajęcia 3pokojowe mieszkanie,5 400 zł,68 m²,Warszawa - Odświeżono Dzisiaj o 12:24,brak opisu otodom,brak opisu otodom,https://www.otodom.pl/pl/oferta/do-wynajecia-3pokojowe-mieszkanie-ID4wliR.html
NOWE 2 pokoje obok CH Promenada | Bez prowizji,3 910 zł,"43,63 m²","Warszawa, Praga-Południe - Odświeżono Dzisiaj o 12:23",brak opisu otodom,brak opisu otodom,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-obok-ch-promenada-bez-prowizji-ID4wsiG.html
Duża kawalerka z balkonem na Powiślu  Ludna 11,2 200 zł,29 m²,"Warszawa, Śródmieście - Odświeżono Dzisiaj o 12:29","Duża kawalerka z balkonem mieszcząca się na 4 piętrze bloku Ludna 11. Blok wyposażony w windę.
Na mieszkanie składają się pomieszczenia:
- duży pokój 
- Kuchnia 
- łazienka z WC 
- -balkon.
Mieszkanie ma okna na podwórze. Bardzo ciche, w świetnym miejscu i doskonale skomunikowane. 

WYPOSAŻENIE
Przedpokój:
Szafa wnękowa, lustro
Pokój:
Regał KALAX, 
Łóżko 140 cm
Kanapa – narożnik rozkładany
Stół + 4 krzesła 
Telewizor 40’’ 
Kuchnia:
Kuchnia elektryczna 2 palniki), duża lodówka z zamrażalnikiem 
Łazienka
Wanna z prysznicem
Toaleta
Pralka
LOKALIZACJA
Dużo zieleni, park Janiny Porazińskiej, Park Rydza-Śmigłego, Park Beyera, Bulwary Wiślane,  
Blisko dużo sklepów, Biedronka, Rossmann, CH Arkada, punkty usługowe, restauracje, kawiarnie, poczta 
Park, sklepy, kawiarnie, muzea, BUW, Centrum Nauki Kopernik
5 min od Mostu Poniatowskiego
15 min spacerem do ronda de Gaulle’a. 

Komunikacja:
autobusy
Przystanek Solec  
118, 127, 166
Przystanek Czerniakowska 
Most Poniatowskiego 05/06 
185
Most Poniatowskiego 01/02:
111, 117, 158, N22, N24, N72
Tramwaje
Most Poniatowskiego 03/04
7, 9, 22, 24, 25
Stacja kolejowa Warszawa Powiśle
Metro Centrum Nauki Kopernik ok 15 min 

Opłaty
Czynsz  2 200 PLN 
Czynsz administracyjny  500 PLN
Zaliczka na opłaty licznikowe 	450 PLN
Kaucja zwrotna 4 000 PLN

Kontakt:

+48**********11",FirmoweWinda: TakParking: brakPoziom: 4Umeblowane: TakRodzaj zabudowy: BlokPowierzchnia: 29 m²Liczba pokoi: KawalerkaCzynsz (dodatkowo): 500 zł,https://www.olx.pl/oferta/duza-kawalerka-z-balkonem-na-powislu-ludna-11-CID3-ID14UlPk.html
